t,Delta_t,x_wf,y_wf,z_wf,phi_wf,psi_wf,theta_wf,zeta
[s],[s],[m],[m],[m],[rad],[rad],[rad],[m]
42.8,0.2,0.0385014,-0.01753563,0.0466061,-0.0009980618,-0.0003378727,-0.002454943,0.5839324
43.0,0.2,0.03867973,-0.01855894,0.05763382,-0.000741541,-0.0001462144,-0.003321231,0.6077597
43.2,0.2,0.03805397,-0.01946138,0.06574479,-0.0003608276,5.27668e-05,-0.004053719,0.5257717
43.4,0.2,0.03674606,-0.02021255,0.07037584,0.0001304031,0.0002483384,-0.004609936,0.3662163
43.6,0.2,0.03488725,-0.02081208,0.07125598,0.0007076185,0.0004295984,-0.004960591,0.1867498
43.8,0.2,0.03260779,-0.02128176,0.06839132,0.001337306,0.0005859719,-0.005090689,0.04939159
44.0,0.2,0.03002606,-0.02165063,0.06202112,0.001980222,0.0007079925,-0.004999325,-0.005362743
44.2,0.2,0.0272387,-0.02193648,0.052553,0.002595548,0.0007882317,-0.004698246,0.02592857
44.4,0.2,0.02431323,-0.02212904,0.04048947,0.003145267,0.0008221501,-0.004209471,0.1104908
44.6,0.2,0.02128507,-0.02217981,0.02635856,0.003597945,0.0008086267,-0.003562381,0.1950451
44.8,0.2,0.01815984,-0.0220018,0.01066031,0.003931299,0.0007499975,-0.002790723,0.2286089
45.0,0.2,0.01492108,-0.02147963,-0.006163246,0.004133185,0.0006515646,-0.001929957,0.1822191
45.2,0.2,0.01154221,-0.02048792,-0.02373264,0.004201058,0.0005206834,-0.00101525,0.05767725
45.4,0.2,0.008000609,-0.01891347,-0.0417135,0.004140239,0.0003656431,-8.025382e-05,-0.1170819
45.6,0.2,0.004291069,-0.01667627,-0.05978483,0.00396155,0.0001945999,0.0008433776,-0.302387
45.8,0.2,0.0004360025,-0.01374483,-0.07760308,0.003678886,1.478042e-05,0.001725942,-0.4635708
46.0,0.2,-0.003509602,-0.01014328,-0.09477142,0.003307171,-0.000167917,0.002539448,-0.5824952
46.2,0.2,-0.007459373,-0.005949617,-0.1108217,0.002860929,-0.0003489127,0.003257505,-0.6595376
46.4,0.2,-0.0113026,-0.001286453,-0.1252126,0.002353523,-0.0005246166,0.00385565,-0.7065541
46.6,0.2,-0.01491576,0.003693139,-0.1373452,0.00179695,-0.0006919214,0.004312225,-0.7354553
46.8,0.2,-0.01817637,0.008821899,-0.1465918,0.001202032,-0.0008476694,0.004609777,-0.7486298
47.0,0.2,-0.02097687,0.01393416,-0.1523356,0.0005788559,-0.0009882151,0.004736762,-0.7360183
47.2,0.2,-0.02323621,0.01887923,-0.1540147,-6.265907e-05,-0.001109161,0.004689179,-0.6800536
47.4,0.2,-0.02490736,0.02353101,-0.1511659,-0.0007121684,-0.001205311,0.004471753,-0.5657367
47.6,0.2,-0.02597982,0.02779303,-0.1434645,-0.001358382,-0.00127085,0.004098303,-0.3906518
47.8,0.2,-0.02647663,0.03159859,-0.1307564,-0.001988754,-0.001299753,0.003591102,-0.169818
48.0,0.2,-0.02644689,0.03490602,-0.1130802,-0.00258951,-0.001286404,0.002979212,0.06720435
48.2,0.2,-0.02595485,0.03769,-0.09067898,-0.003146117,-0.001226358,0.002296022,0.2858196
48.4,0.2,-0.0250681,0.03993065,-0.06400177,-0.003644176,-0.00111717,0.001576358,0.4582318
48.6,0.2,-0.02384675,0.04160276,-0.03369588,-0.004070605,-0.0009591364,0.0008536262,0.572205
48.8,0.2,-0.02233613,0.04266801,-0.0005919227,-0.00441483,-0.0007558017,0.0001574392,0.6327948
49.0,0.2,-0.02056421,0.04307243,0.03431692,-0.004669664,-0.0005140804,-0.0004879749,0.6564366
49.2,0.2,-0.01854418,0.04275033,0.06990058,-0.00483156,-0.0002439182,-0.00106445,0.6604576
49.4,0.2,-0.01628116,0.04163417,0.1049227,-0.004900113,4.250298e-05,-0.001559725,0.6533135
49.6,0.2,-0.01378107,0.03966801,0.1380772,-0.004876855,0.0003318991,-0.001966699,0.6305421
49.8,0.2,-0.01105913,0.03682129,0.1680315,-0.004763663,0.0006111647,-0.002282405,0.5786078
50.0,0.2,-0.008145562,0.03309903,0.1934785,-0.004561215,0.0008685683,-0.002507012,0.4847959
50.2,0.2,-0.005087079,0.02854563,0.2131949,-0.004267981,0.001094654,-0.002643056,0.3480297
