t  [s],Delta_t  [s],z_wf  [m],phi_wf  [rad],theta_wf  [rad],zeta  [m]
44.4,0.2,-0.2383605,0.01328359,-0.008860171,0.139896
44.6,0.2,-0.2405747,0.01407997,-0.008962802,0.01680637
44.8,0.2,-0.2458448,0.01464346,-0.008674217,-0.1078072
45.0,0.2,-0.2536054,0.01498616,-0.008037516,-0.211513
45.2,0.2,-0.2630546,0.01512967,-0.007108791,-0.2804502
45.4,0.2,-0.2731867,0.01510302,-0.005955647,-0.311844
45.6,0.2,-0.2828274,0.01493939,-0.004655187,-0.3135283
45.8,0.2,-0.2906723,0.01467231,-0.003291305,-0.3006777
46.0,0.2,-0.2953322,0.01433187,-0.001951292,-0.2907261
46.2,0.2,-0.2953872,0.01394144,-0.0007218621,-0.2979254
46.4,0.2,-0.2894524,0.0135153,0.0003151519,-0.3290444
46.6,0.2,-0.2762508,0.01305724,0.001087157,-0.3813211
46.8,0.2,-0.254694,0.0125602,0.001534916,-0.4431036
47.0,0.2,-0.2239621,0.01200702,0.001616171,-0.4968643
47.2,0.2,-0.1835788,0.01137208,0.001308588,-0.523671
47.4,0.2,-0.1334758,0.01062393,0.0006118639,-0.5079011
47.6,0.2,-0.07403856,0.009728773,-0.0004511545,-0.4410342
47.8,0.2,-0.006131665,0.008654531,-0.001834465,-0.3236893
48.0,0.2,0.06890168,0.007375138,-0.00347018,-0.165556
48.2,0.2,0.1492671,0.005874501,-0.005271183,0.0166443
48.4,0.2,0.2327737,0.004149518,-0.007135203,0.2026446
48.6,0.2,0.3169151,0.002211643,-0.008950202,0.3728043
48.8,0.2,0.3989716,8.673055e-05,-0.01060078,0.5121162
49.0,0.2,0.4761288,-0.002186745,-0.01197518,0.6132316
49.2,0.2,0.5456051,-0.004560632,-0.01297221,0.6778363
49.4,0.2,0.6047776,-0.006980509,-0.01350762,0.7159674
49.6,0.2,0.6513006,-0.00938881,-0.01351919,0.7432442
49.8,0.2,0.6832071,-0.01172713,-0.0129703,0.7764502
50.0,0.2,0.6989915,-0.01393752,-0.0118517,0.8283835
50.2,0.2,0.6976699,-0.01596311,-0.01018156,0.9032439
50.4,0.2,0.6788184,-0.01774851,-0.00800406,0.9938984
50.6,0.2,0.6426134,-0.01924061,-0.005386174,1.082061
50.8,0.2,0.5897775,-0.02039131,-0.00241588,1.141724
51.0,0.2,0.5215956,-0.02116012,0.0008029077,1.14526
51.2,0.2,0.4398851,-0.02151786,0.004155102,1.070702
51.4,0.2,0.3469249,-0.02145032,0.00751901,0.90821
51.6,0.2,0.2453672,-0.02096044,0.01077147,0.6637561
51.8,0.2,0.1381251,-0.02006822,0.01379314,0.3587939
52.0,0.2,0.02824209,-0.01880815,0.01647375,0.02586081
52.2,0.2,-0.08124809,-0.01722446,0.01871697,-0.2986861
52.4,0.2,-0.1874555,-0.01536505,0.02044443,-0.5826781
52.6,0.2,-0.2877498,-0.01327571,0.02159874,-0.8045388
52.8,0.2,-0.3798462,-0.01099575,0.02214509,-0.9562938
53.0,0.2,-0.4618547,-0.008556202,0.02207142,-1.042549
53.2,0.2,-0.532294,-0.005980739,0.0213874,-1.076153
53.4,0.2,-0.590076,-0.003288956,0.02012235,-1.072318
53.6,0.2,-0.634472,-0.0005009605,0.01832261,-1.043397
53.8,0.2,-0.6650709,0.002358046,0.01604859,-0.9960839
54.0,0.2,-0.6817421,0.00525436,0.0133719,-0.9317974
54.2,0.2,-0.684606,0.008144291,0.01037265,-0.8496512
54.4,0.2,-0.674016,0.01097476,0.007136908,-0.7504123
54.6,0.2,-0.650548,0.01368557,0.003754389,-0.6394487
54.8,0.2,-0.6149935,0.01621256,0.000316166,-0.52714
55.0,0.2,-0.568351,0.01849087,-0.00308753,-0.4263487
55.2,0.2,-0.5118118,0.02045775,-0.006369454,-0.347884
55.4,0.2,-0.4467402,0.02205468,-0.009447353,-0.2958797
55.6,0.2,-0.3746482,0.02322909,-0.01224575,-0.2652232
55.8,0.2,-0.2971667,0.02393602,-0.01469746,-0.242475
56.0,0.2,-0.216017,0.02414027,-0.01674481,-0.2103466
56.2,0.2,-0.1329804,0.02381916,-0.01834068,-0.154283
56.4,0.2,-0.04986815,0.02296566,-0.01944947,-0.06864678
56.6,0.2,0.03151252,0.02159144,-0.02004805,0.04009401
56.8,0.2,0.1093983,0.01972902,-0.02012691,0.1547971
57.0,0.2,0.1821177,0.01743221,-0.01969122,0.2535818
57.2,0.2,0.2481471,0.0147744,-0.01876185,0.3183081
57.4,0.2,0.3061724,0.01184475,-0.01737593,0.3424238
57.6,0.2,0.3551515,0.008742458,-0.01558665,0.3349613
57.8,0.2,0.3943715,0.005570219,-0.01346216,0.3186972
58.0,0.2,0.4234919,0.002427506,-0.01108313,0.3225997
58.2,0.2,0.4425681,-0.0005952451,-0.008539356,0.3709182
58.4,0.2,0.4520504,-0.003421026,-0.005925272,0.4727735
58.6,0.2,0.4527543,-0.005988945,-0.003335066,0.6162483
58.8,0.2,0.4458056,-0.008255298,-0.000857671,0.7696165
59.0,0.2,0.4325613,-0.01019337,0.001427757,0.8898913
59.2,0.2,0.4145146,-0.01179236,0.003455509,0.9361817
59.4,0.2,0.3931902,-0.01305592,0.00517586,0.8834276
59.6,0.2,0.3700409,-0.01400038,0.006556426,0.7317073
59.8,0.2,0.3463509,-0.01465302,0.007582398,0.5076858
60.0,0.2,0.3231545,-0.0150501,0.0082559,0.2574458
60.2,0.2,0.3011735,-0.01523471,0.008594705,0.03295558
60.4,0.2,0.2807764,-0.01525428,0.008630545,-0.1233155
60.6,0.2,0.2619599,-0.01515758,0.008407167,-0.1904574
60.8,0.2,0.2443518,-0.01499141,0.007978181,-0.1738428
61.0,0.2,0.2272344,-0.01479686,0.007404689,-0.101086
61.2,0.2,0.2095885,-0.01460555,0.006752612,-0.01089394
61.4,0.2,0.1901571,-0.01443598,0.006089681,0.06105889
61.6,0.2,0.1675283,-0.01429048,0.00548209,0.09412664
61.8,0.2,0.1402385,-0.0141533,0.004990907,0.08833613
62.0,0.2,0.1068905,-0.0139902,0.004668386,0.06186854
62.2,0.2,0.06628464,-0.01374998,0.004554425,0.04161156
62.4,0.2,0.01755155,-0.01336825,0.004673389,0.05055562
62.6,0.2,-0.03972091,-0.01277309,0.005031556,0.09690756
62.8,0.2,-0.1053805,-0.01189248,0.005615403,0.1690678
63.0,0.2,-0.178634,-0.01066244,0.006390946,0.2383658
63.2,0.2,-0.2580115,-0.009035168,0.007304337,0.2685335
63.4,0.2,-0.3413789,-0.006985944,0.00828385,0.2284058
63.6,0.2,-0.4260003,-0.004518104,0.009243366,0.1031873
63.8,0.2,-0.5086507,-0.001665315,0.01008729,-0.09978525
64.0,0.2,-0.5857715,0.00150901,0.0107167,-0.3527757
64.2,0.2,-0.6536605,0.004915049,0.0110363,-0.6160981
64.4,0.2,-0.7086828,0.008442195,0.01096163,-0.8501121
64.6,0.2,-0.7474891,0.01196629,0.01042568,-1.026449
64.8,0.2,-0.7672248,0.01535772,0.009384425,-1.134641
65.0,0.2,-0.7657154,0.01848954,0.00782057,-1.182186
65.2,0.2,-0.741615,0.02124498,0.005745323,-1.188523
65.4,0.2,-0.6945071,0.02352372,0.00319813,-1.175514
65.6,0.2,-0.6249514,0.02524655,0.0002446972,-1.158067
65.8,0.2,-0.5344747,0.02635805,-0.003026283,-1.138177
66.0,0.2,-0.4255062,0.02682737,-0.006507229,-1.10423
66.2,0.2,-0.3012654,0.0266472,-0.01007621,-1.03538
66.4,0.2,-0.1656096,0.02583133,-0.01360169,-0.9091207
66.6,0.2,-0.02285568,0.02441144,-0.01694747,-0.7092133
66.8,0.2,0.1224143,0.02243357,-0.01997779,-0.4313799
67.0,0.2,0.2655476,0.01995503,-0.02256268,-0.08523504
67.2,0.2,0.4020067,0.01704205,-0.02458347,0.3075679
67.4,0.2,0.5275386,0.01376826,-0.02593828,0.7177502
67.6,0.2,0.6383221,0.01021381,-0.02654715,1.113576
67.8,0.2,0.7310927,0.006464717,-0.0263564,1.465195
68.0,0.2,0.8032449,0.002611849,-0.02534188,1.747375
68.2,0.2,0.8529112,-0.001250902,-0.02351074,1.94073
68.4,0.2,0.879018,-0.005029533,-0.0209018,2.0322
68.6,0.2,0.8813122,-0.008633826,-0.01758438,2.015568
68.8,0.2,0.860357,-0.0119818,-0.0136557,1.892394
69.0,0.2,0.8174889,-0.01500407,-0.009237299,1.673085
69.2,0.2,0.7547363,-0.01764723,-0.004470318,1.377307
69.4,0.2,0.6747,-0.01987581,0.0004899421,1.032852
69.6,0.2,0.5804059,-0.02167209,0.005480161,0.6724715
69.8,0.2,0.4751389,-0.02303411,0.01033564,0.3289788
70.0,0.2,0.3622762,-0.0239719,0.01489717,0.02964538
70.2,0.2,0.2451325,-0.02450285,0.01901789,-0.2085623
70.4,0.2,0.1268312,-0.02464691,0.02256952,-0.3814632
70.6,0.2,0.01020735,-0.02442244,0.02544775,-0.4970184
70.8,0.2,-0.102255,-0.02384328,0.02757611,-0.5716818
71.0,0.2,-0.2084525,-0.02291749,0.02890811,-0.6248283
71.2,0.2,-0.3066656,-0.02164766,0.02942755,-0.6729562
71.4,0.2,-0.3955403,-0.02003271,0.02914691,-0.7254008
71.6,0.2,-0.4740538,-0.01807073,0.02810434,-0.7827427
71.8,0.2,-0.5414688,-0.01576239,0.02635958,-0.8381462
72.0,0.2,-0.5972801,-0.01311452,0.02398938,-0.8808752
72.2,0.2,-0.6411581,-0.01014347,0.02108295,-0.9005668
72.4,0.2,-0.6728924,-0.006877818,0.0177378,-0.8907344
72.6,0.2,-0.6923432,-0.003360384,0.0140561,-0.8504311
72.8,0.2,-0.6994065,0.0003508503,0.01014179,-0.783817
73.0,0.2,-0.6939976,0.004182885,0.006098026,-0.6982052
73.2,0.2,-0.676058,0.00804909,0.002025057,-0.6016728
73.4,0.2,-0.6455845,0.01185179,-0.001981788,-0.5013274
73.6,0.2,-0.6026767,0.01548597,-0.005834015,-0.4028517
73.8,0.2,-0.5475972,0.01884391,-0.009451769,-0.3112255
74.0,0.2,-0.4808336,0.02182031,-0.0127654,-0.2318823
74.2,0.2,-0.4031546,0.02431773,-0.01571665,-0.1712819
74.4,0.2,-0.3156517,0.02625157,-0.01825925,-0.1361124
74.6,0.2,-0.2197611,0.02755448,-0.020359,-0.1309882
74.8,0.2,-0.1172616,0.02817958,-0.02199313,-0.155316
75.0,0.2,-0.01025089,0.02810255,-0.02314935,-0.2006134
75.2,0.2,0.09890057,0.02732223,-0.02382446,-0.249683
75.4,0.2,0.2076131,0.02586006,-0.02402294,-0.2785858
75.6,0.2,0.3131756,0.02375846,-0.02375562,-0.2614267
75.8,0.2,0.4128332,0.02107844,-0.02303852,-0.1769019
76.0,0.2,0.5038807,0.01789673,-0.02189191,-0.01475931
76.2,0.2,0.5837568,0.01430277,-0.02033977,0.2198899
76.4,0.2,0.6501366,0.01039556,-0.01840943,0.5059595
76.6,0.2,0.7010161,0.006280647,-0.01613156,0.8099452
76.8,0.2,0.7347876,0.002067159,-0.01354042,1.092816
77.0,0.2,0.7503003,-0.002135176,-0.01067436,1.318345
77.2,0.2,0.7469067,-0.006219047,-0.007576428,1.460534
77.4,0.2,0.7244912,-0.01008264,-0.004295095,1.508118
77.6,0.2,0.6834805,-0.01363269,-0.0008847506,1.46508
77.8,0.2,0.6248376,-0.01678741,0.002594093,1.347405
78.0,0.2,0.5500362,-0.01947905,0.006075129,1.177351
78.2,0.2,0.4610191,-0.02165583,0.009487193,0.977208
78.4,0.2,0.3601393,-0.02328308,0.01275583,0.7643757
78.6,0.2,0.2500859,-0.02434349,0.01580536,0.5490279
78.8,0.2,0.1337963,-0.02483628,0.01856135,0.3345992
79.0,0.2,0.01435781,-0.02477559,0.02095307,0.1204229
79.2,0.2,-0.1050956,-0.02418796,0.02291606,-0.09477411
79.4,0.2,-0.2214873,-0.02310943,0.02439424,-0.3099157
79.6,0.2,-0.3318958,-0.02158234,0.02534183,-0.5201637
79.8,0.2,-0.4336396,-0.01965226,0.02572474,-0.717364
80.0,0.2,-0.5243448,-0.01736528,0.02552167,-0.8919445
80.2,0.2,-0.6019924,-0.01476609,0.02472473,-1.035372
80.4,0.2,-0.6649435,-0.01189696,0.02333977,-1.142172
80.6,0.2,-0.7119451,-0.008797847,0.02138628,-1.210784
80.8,0.2,-0.7421191,-0.005507769,0.01889702,-1.243066
81.0,0.2,-0.7549409,-0.002067077,0.01591732,-1.242763
81.2,0.2,-0.7502123,0.001479503,0.0125042,-1.213658
